departure,Mowbray,18.495859,-33.9500328,-33.905804,18.629444,75,219,313,186,140,143,185,204,112,171,260,317,371,160,15,0
departure,Northpine,18.7155487,-33.8673434,-33.905804,18.629444,0,15,0,15,0,0,0,0,0,15,0,15,0,15,0,0
departure,Nyanga,18.5849064,-33.9953811,-33.905804,18.629444,30,420,582,344,190,192,231,162,159,136,261,508,464,372,27,15
departure,Paarl,18.9621091,-33.7342304,-33.905804,18.629444,0,0,0,30,0,15,0,15,15,15,0,0,15,0,0,30
departure,Parow,18.5808115,-33.9067916,-33.905804,18.629444,0,28,0,0,0,15,13,0,0,0,0,0,0,0,0,0
departure,Pinehurst,18.6858533,-33.8343029,-33.905804,18.629444,0,45,69,71,15,0,0,28,28,0,13,0,0,0,0,0
departure,Robertson,19.8875431,-33.8020653,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Samora Machel,18.5791109,-34.0207739,-33.905804,18.629444,0,58,44,28,15,29,41,29,15,74,74,146,188,223,14,0
departure,Serepta,18.6680371,-33.9339835,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
departure,Silversands,18.6784297,-33.9740437,-33.905804,18.629444,42,42,45,45,12,42,0,29,30,29,102,117,42,119,0,0
departure,Somerset West,18.8432656,-34.0756899,-33.905804,18.629444,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
departure,Stellenbosch,18.860152,-33.9321045,-33.905804,18.629444,14,86,133,103,45,42,59,84,60,86,74,160,118,15,15,0
departure,Tygerberg Hospital,18.6122929,-33.9105696,-33.905804,18.629444,28,140,211,130,92,96,110,90,78,89,149,81,54,0,0,0
departure,Tygervalley,18.6350371,-33.8735434,-33.905804,18.629444,101,557,851,593,373,219,236,141,234,236,312,524,487,345,58,15
departure,Vredenberg,18.6665525,-33.8763597,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0
departure,Wallacedene,18.7318822,-33.8607445,-33.905804,18.629444,0,15,15,0,15,0,0,0,0,0,0,15,0,0,0,0
departure,Welgemoed,18.6145938,-33.8723559,-33.905804,18.629444,0,247,494,335,74,102,57,58,90,147,89,235,165,15,15,0
departure,Wesbank,18.7051551,-33.9886729,-33.905804,18.629444,14,354,260,56,45,57,100,58,104,149,186,367,439,228,60,0
departure,Worcester,19.4616074,-33.65389,-33.905804,18.629444,0,0,15,0,0,15,0,15,0,0,0,15,0,0,0,0
departure,Lower Crossroads / Phillipi,18.5967811,-33.9935296,-33.905804,18.629444,30,150,193,88,42,101,87,117,117,148,207,340,323,175,15,0
departure,Khayelitsha Site B,18.673114,-34.0237793,-33.905804,18.629444,0,67,43,0,58,52,58,43,15,30,75,136,167,102,41,0
,,,,,,1112,6803,8636,5733,3512,3502,3662,3462,3479,4142,5536,7988,8565,5864,682,178
