,direction,area,long,lat,bellat,bellong,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,x0,y0,x1,y1,PHV,width
28,arrival,Khayelitsha Site C,18.649672,-34.014463899999996,-33.905803999999996,18.629444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2076071.990501572,-4030744.339908506,2073820.2198418058,-4016160.806763937,0.0,1.0
29,arrival,Kraaifontein,18.718518399999997,-33.853419200000005,-33.905803999999996,18.629444,0.0,170.0,564.0,625.0,516.0,403.0,303.0,189.0,227.0,246.0,283.0,379.0,577.0,522.0,161.0,0.0,2083735.936692522,-4009136.7469377075,2073820.2198418058,-4016160.806763937,1359.0,2.3362667901806393
30,arrival,Kuilsriver,18.7066398,-33.941385,-33.905803999999996,18.629444,0.0,60.0,172.0,282.0,119.0,134.0,71.0,109.0,62.0,84.0,133.0,64.0,75.0,45.0,19.0,0.0,2082413.6169891853,-4020934.1766039236,2073820.2198418058,-4016160.806763937,514.0,1.1736915238536358
31,arrival,Langa,18.5314753,-33.9445079,-33.905803999999996,18.629444,0.0,24.0,103.0,129.0,110.0,38.0,65.0,15.0,57.0,15.0,41.0,31.0,37.0,84.0,0.0,0.0,2062914.3940441268,-4021353.224526123,2073820.2198418058,-4016160.806763937,256.0,1.0856878184344605
32,arrival,Lower Crossroads / Phillipi,18.5967811,-33.9935296,-33.905803999999996,18.629444,0.0,0.0,118.0,73.0,76.0,69.0,39.0,21.0,59.0,41.0,95.0,0.0,26.0,41.0,16.0,0.0,2070184.2024459743,-4027933.2425866975,2073820.2198418058,-4016160.806763937,191.0,1.0602130616025938
33,arrival,Makhaza,18.712196,-34.041435,-33.905803999999996,18.629444,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2083032.1303439306,-4034367.0921717077,2073820.2198418058,-4016160.806763937,0.0,1.0
34,arrival,Malibu Village,18.693276899999997,-33.9959128,-33.905803999999996,18.629444,0.0,0.0,16.0,16.0,0.0,15.0,15.0,15.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,2080926.0657656633,-4028253.228236086,2073820.2198418058,-4016160.806763937,32.0,1.0
35,arrival,Melton Rose Station,18.7203062,-33.989194299999994,-33.905803999999996,18.629444,0.0,0.0,30.0,57.0,86.0,14.0,47.0,38.0,22.0,45.0,0.0,30.0,44.0,29.0,0.0,0.0,2083934.9536781623,-4027351.1769012455,2073820.2198418058,-4016160.806763937,87.0,1.1018990273274665
36,arrival,Mfuleni,18.685853299999998,-34.006485,-33.905803999999996,18.629444,0.0,119.0,248.0,143.0,183.0,102.0,110.0,131.0,187.0,90.0,107.0,185.0,126.0,163.0,30.0,0.0,2080099.6743938106,-4029672.836434519,2073820.2198418058,-4016160.806763937,510.0,1.2918017600741085
37,arrival,Mithcells Plain,18.605687300000003,-34.0485946,-33.905803999999996,18.629444,0.0,32.0,249.0,129.0,173.0,90.0,85.0,38.0,72.0,55.0,46.0,17.0,47.0,92.0,22.0,0.0,2071175.6360948775,-4035328.961550373,2073820.2198418058,-4016160.806763937,410.0,1.108846688281612
