TAZ Number,Area_Name,EmployedIF2,Other1,Other2,Other3,Other4,Other5,Retired1,Retired2,Retired3,Retired4,Retired5,School1,School2,School3,School4,School5,Student1,Student2,Student3,Student4,Student5,Unemployed2,EmployedF1,EmployedF2,EmployedF3,EmployedF4,EmployedF5,EmployedIF1,EmployedIF2,EmployedIF3,EmployedIF4,EmployedIF5
1,Denneoord,14.57183285,4.865560641,0,1.399665552,5.523007458,26.17448992,3.42317529,0,0.681965262,2.565291208,12.0677788,7.969746318,0,2.290717522,9.181433566,33.248912,0.419949556,0,0.121155885,0.482569526,1.812901186,2.602389458,15.0925444,0,5.013754439,20.25632339,74.47930386,1.410644423,0,0.540279328,2.21997949,7.97624554
6,Thembalethu SP,58.28733138,2.842105263,0.654319281,1.907692308,0.235239207,0.307541899,0,0,0,0,0,33.51847594,8.44135084,22.47957461,2.815639627,2.812781521,1.324640884,0.326054591,0.891707317,0.110990991,0.115025455,42.19647492,13.93352113,3.859966722,10.80036078,1.363596404,1.383097586,0.88991511,0.278361003,0.795291171,0.102119057,0.101215805
1,Bodorp,4.857277615,0.968899522,0,0.975524476,4.811711043,18.87188928,0.511253452,0,0.356481842,1.676184596,6.525679758,2.248319488,0,2.261794321,11.33188297,33.96114052,0.627197388,0,0.633314856,3.153153153,9.803305785,3.90368842,6.267445583,0,7.287175243,36.80160748,111.9837534,0.337089057,0,0.451869983,2.320887648,6.901077646
6,Thembalethu SP,4.857277615,7.134146341,3.032211303,5.52532833,3.815465179,3.56298542,1.337364214,0.36382682,0.717311023,0.472193466,0.437698033,27.6765871,12.86791287,21.41727764,15.02246752,10.71944177,0.875016844,0.397627549,0.679654967,0.473742035,0.350687361,26.05503509,6.136035727,3.138184327,5.487988202,3.880152368,2.811173954,12.344859,7.128757398,12.72950807,9.153354458,6.480280228
6,Rosemoor,2.428638808,7.320574163,0,7.370629371,10.90654503,19.01168106,11.24757595,0,7.842600513,11.06281834,19.14199396,8.464261602,0,8.514990384,12.79836194,17.04716073,0,0,0,0,0,6.353989741,6.59731114,0,7.670710782,11.62156026,15.71701802,1.685445285,0,2.259349917,3.481331473,4.600718431
1,Bodorp,0,1.495844875,0.344378569,0.376518219,1.485721304,13.59658924,2.811893988,0.414358323,0.490162532,1.843803056,16.74924471,5.819179851,1.465512299,1.463513972,5.865915889,41.01973051,2.033439953,0.500522398,0.513318357,2.044570887,14.83222967,9.165508897,13.2409192,3.668097031,3.848812779,15.54978355,110.4051581,0.390313645,0.122088159,0.130804469,0.537468719,3.729003359
6,Thembalethu SP,4.857277615,25.11627907,9.738705582,13.30948122,5.251852053,3.433025854,0.621232393,0.154179841,0.227982573,0.085758282,0.055645331,32.14081895,13.63267255,17.01760433,6.82083243,3.406954361,3.658165232,1.516532979,1.944129325,0.774355751,0.401251586,24.73066354,14.96413364,6.981851952,9.15728264,3.699680165,1.876295174,0.819204801,0.431567447,0.577973235,0.237486178,0.117692797
6,Glenwood AH,12.14319404,3.24099723,1.492307133,3.263157895,4.828594239,23.14657454,2.071921886,0.610633318,1.444689568,2.037887588,9.69693115,7.963088218,4.010875765,8.010813321,12.04056419,44.10392077,0.871474266,0.429019198,0.879974326,1.314366999,4.994526316,14.17678952,7.384358784,4.091338996,8.585813121,13.00799201,48.37808441,1.170940935,0.732528956,1.569653627,2.418609234,8.789793633
6,Twee Rivieren,0,2.148102815,0.329695762,0.360465116,1.066782448,14.87644537,3.335037056,0.327632162,0.387570374,1.093418091,15.13553011,7.307807255,1.226940529,1.225267512,3.683249512,39.24811424,1.155210073,0.189566622,0.194412933,0.580766813,6.42002537,6.56147543,18.90206354,3.490925976,3.662913056,11.09904049,120.0828912,1.293481265,0.269729654,0.288986617,0.890573167,9.415423765
6,#N/A,7.285916423,22.03947368,4.059202949,4.438034188,13.13418903,45.78957169,0.781081663,0.092079627,0.108925007,0.307300509,1.063444109,7.273974814,1.465512299,1.463513972,4.399436917,11.719923,14.56491713,2.868072787,2.941395664,8.786786787,24.28315152,3.849473436,11.42312207,2.531613977,2.656338734,8.049006549,21.77098051,3.089983022,0.773225009,0.828428303,2.552976413,6.747720365
4,Blanco,2.428638808,7.393314367,5.835820617,5.317047817,8.392317639,15.08617696,2.659899719,1.343864831,1.3247636,1.993300601,3.556789418,12.66064806,10.93192958,9.097519286,14.58552059,20.03473324,1.566298343,1.321842935,1.12969677,1.799853908,2.564756757,3.761915562,16.93309859,16.08319468,14.06296977,22.72660673,31.69598634,2.455283807,2.633144625,2.350945184,3.863964301,5.265957447
6,Thembalethu SP,2.428638808,7.105263158,1.635798203,5.365384615,1.764294049,0.768854749,1.807646135,0.266373207,0.945313455,0.296325491,0.128182995,23.69237511,5.966728644,17.8757778,5.970664388,1.988201224,0,0,0,0,0,48.30383167,39.39537223,10.91359639,34.35382615,11.56621949,3.910543769,2.383701188,0.74560983,2.396524734,0.820599561,0.271113765
4,Heatherlands,9.714555231,0.342105263,0.945127851,0,1.019369895,16.88063315,0.499892265,0.883964422,0,0.98336163,16.16435045,1.681096402,5.080442635,0,5.083793771,64.32935515,0.490607735,1.449131514,0,1.47987988,19.42652121,1.314905523,2.419014085,8.041597338,0,8.522477522,109.4952255,0.411997736,1.546450018,0,1.701984276,21.36778116
4,Heatherlands,2.428638808,1.501925546,0.345778482,0.756097561,2.237641233,13.65185993,2.743311208,0.404252022,0.956414697,2.698248375,16.34072655,8.232010522,2.073163739,4.140673677,12.44718738,58.02791145,1.615415712,0.397627549,0.815585961,2.436387607,11.78309534,1.302645706,11.56406733,3.203563167,6.722785548,20.37079993,96.42326664,1.08526233,0.339464638,0.727400461,2.241637826,10.36844837
1,Loerie Park,0,1.587346025,0.417650605,0.228314239,0.90091611,9.717015333,3.350341773,0.56423261,0.333727681,1.255355272,13.44012342,11.70026587,3.367560176,1.681484138,6.739562937,55.54495423,4.110144587,1.156221952,0.592890503,2.361510447,20.1906383,5.227230135,19.45504945,6.159521365,3.231490925,13.05571025,109.2499955,1.10450457,0.394838302,0.211513609,0.869098353,7.106641661
4,Heather Park,4.857277615,0.426315789,0.196295784,0.429230769,0.846861144,11.34829609,1.574660633,0.464081321,1.097964072,2.065059423,27.46876133,2.676822732,1.348271315,2.692865709,5.396642618,55.25943696,0.220773481,0.108684864,0.222926829,0.443963964,4.716043636,9.208979163,4.741267606,2.626921797,5.512684149,11.1360373,115.7767937,0.222478778,0.139180502,0.298234189,0.612714339,6.224772036
4,Heather Park,4.857277615,0.848389631,0.195319188,0.640642939,1.05330988,14.87217544,3.357485359,0.494756206,1.755806085,2.75194486,38.56968932,2.084482335,0.524959629,1.572731433,2.626529503,28.33772428,1.318050631,0.324432428,0.998179833,1.656581955,18.54141655,3.945912536,7.798612571,2.160429136,6.800600306,11.44810413,125.4077288,0,0,0,0,0
6,Thembalethu SP,4.857277615,10.47091413,4.821299967,6.589068826,2.600012283,0,0,0,0,0,0,41.65307683,20.97996554,26.1891974,10.49690212,0,1.161965688,0.572025597,0.733311938,0.292081555,0,27.02081387,35.64862861,19.75129171,25.90547062,10.46620047,0,2.341881869,1.465057911,1.962067034,0.806203078,0
6,Thembalethu SP,0,6.791795666,12.50904508,9.573529412,12.14249434,5.29152974,0.827027644,0.974960759,0.807326523,0.97613103,0.422249867,15.40371137,31.03437809,21.69444241,27.94936394,9.306997679,0.405833604,0.799153408,0.573708752,0.734499205,0.25373262,14.62491319,4.268848384,9.46070275,6.948761532,9.02379973,3.050950556,5.452911215,13.64514721,10.2335261,13.51575748,4.465403183
4,Blanco,19.42911046,2.934782609,0.450437186,2.462374582,1.943280402,19.05422638,2.934150249,0.288249268,1.704913155,1.282645604,12.4839091,6.072187671,1.019486816,5.090483381,4.080637141,30.57371218,1.079870286,0.177203582,0.908669141,0.723854289,5.626245059,3.901361567,15.77617881,2.913622224,15.2858367,12.3514167,93.9604338,2.901897099,0.605132616,3.241675969,2.663975388,19.80309237
1,Loerie Park,19.42911046,1.623514431,0.598033752,1.634615385,3.547559002,16.44357091,2.834570553,0.668319875,1.976461823,4.089079358,18.81395575,4.223598279,1.70188525,4.248911532,9.366543114,33.17494334,0.890215648,0.350596334,0.898898505,1.969195001,7.235472141,6.473609124,10.14425261,4.496377006,11.79474884,26.20890937,94.25140805,0.299030615,0.149656453,0.400852405,0.905894856,3.183400333
